CompanyName,Brand,EV ModelName,VehicleType,VehicleCMVRCategory,IncentiveAmountInINR,Range,Speed,Acceleration,Warranty,EnergyConsumption,BatteryTechnology,BatteryCapacity,BatteryCycles
Tunwal Emotors Pvt.Ltd.,Tunwal Emotors,RomaS,Two Wheeler( e-2W,L1,24000,99,44.9,1.29,3,2.6,Li ion battery(NickelManganeseCobalt oxide),2.4,1000
Tunwal Emotors Pvt.Ltd.,Tunwal Emotors,TZ 3.3,Two Wheeler( e-2W,L1,28800,107,56.7,1.01,3,3.55,NMC (NickelManganeseCobalt),2.9,1000
Tvs MotorCompanyLimited,Tvs Motor,TVS iQUBEELECTRIC,Two Wheeler( e-2W,L2,22500,86.1,40,0.65,3,5.15,NickelManganeseCobalt,2.25,1000
U P TelelinksLtd,U P Telelinks,power Li-ion,ThreeWheeler ( e-3W,e-rickshaw,37000,99.68,0,0,3,5,Lithium ion(Lithium Ironphosphate),4.4,2000
U P TelelinksLtd,U P Telelinks,Power Li-IonDV,ThreeWheeler ( e-3W,e-cart,38200,99.68,0,0,3,5,Lithium-Ion(Lithium Ironphosphate),4.4,2000
U P TelelinksLtd,U P Telelinks,Power Li-IonFB,ThreeWheeler ( e-3W,e-cart,36600,99.68,0,0,3,5,Lithium Ironphosphate,4.4,2000
U P TelelinksLtd,U P Telelinks,Power Li-IonCV,ThreeWheeler ( e-3W,e-cart,37000,99.68,0,0,3,5,Lithium Ironphosphate,4.4,2000
VictoryElectricVehicles,Victory,VICTORYVIKRANT,ThreeWheeler ( e-3W,e-rickshaw,41600,136.46,0,0,3,4.55,Lithium IronPhosphate,5.2,2000
VICTORY,VICTORY,VICTORY,ThreeWheeler ( e-3W,e-rickshaw,38976,136.46,0,0,3,4.55,Lithium IronPhosphate,5.2,2000
InternationalPrivateLimited,Vehicles,VICTORYBHIM,ThreeWheeler ( e-3W,e-cart,38976,136.46,0,0,3,4.55,Lithium ion,5.2,2000
InternationalPrivateLimited,Vehicles,VICTORYBHIMCLEANER,ThreeWheeler ( e-3W,e-cart,42976,136.46,0,0,3,4.55,Lithium ion,5.2,2000
Y C ElectricVehicle,Y C ElectricVehicle,YATRI SUPER,ThreeWheeler ( e-3W,e-rickshaw,34000,113.2,0,0,3,4.62,Nickel-Manganese-Cobalt,4.3,2000
YATRI CART,YATRI CART,YATRI CART,ThreeWheeler ( e-3W,e-cart,37000,110.78,0,0,3,4.79,Lithium ion(Lithium Ironphosphate),4.4,2000
